"#""Bin Edge short", Bin Edge long, Bin center," Bin width"""
2.814526,2.821402,2.817964,0.003438
2.821402,2.828278,2.824840,0.003438
2.828278,2.835154,2.831716,0.003438
2.835154,2.842030,2.838592,0.003438
2.842030,2.848906,2.845468,0.003438
2.848906,2.855782,2.852344,0.003438
2.855782,2.862658,2.859220,0.003438
2.862658,2.866096,2.864377,0.001719
2.866096,2.872881,2.869489,0.003393
2.872881,2.879666,2.876274,0.003392
2.879666,2.886451,2.883059,0.003392
2.886451,2.893235,2.889843,0.003392
2.893235,2.900019,2.896627,0.003392
2.900019,2.906802,2.90341,0.003392
2.906802,2.913585,2.910194,0.003392
2.913585,2.920368,2.916977,0.003391
2.920368,2.927151,2.92376,0.003391
2.927151,2.933933,2.930542,0.003391
2.933933,2.940715,2.937324,0.003391
2.940715,2.947497,2.944106,0.003391
2.947497,2.954278,2.950887,0.003391
2.954278,2.961059,2.957668,0.003391
2.961059,2.96784,2.964449,0.00339
2.96784,2.97462,2.97123,0.00339
2.97462,2.9814,2.97801,0.00339
2.9814,2.98818,2.98479,0.00339
2.98818,2.994959,2.991569,0.00339
2.994959,3.001738,2.998348,0.003389
3.001738,3.008516,3.005127,0.003389
3.008516,3.015295,3.011905,0.003389
3.015295,3.022072,3.018683,0.003389
3.022072,3.02885,3.025461,0.003389
3.02885,3.035627,3.032238,0.003389
3.035627,3.042403,3.039015,0.003388
3.042403,3.04918,3.045792,0.003388
3.04918,3.055956,3.052568,0.003388
3.055956,3.062731,3.059343,0.003388
3.062731,3.069506,3.066119,0.003388
3.069506,3.076281,3.072894,0.003387
3.076281,3.083055,3.079668,0.003387
3.083055,3.089829,3.086442,0.003387
3.089829,3.096603,3.093216,0.003387
3.096603,3.103376,3.099989,0.003387
3.103376,3.110148,3.106762,0.003386
3.110148,3.116921,3.113535,0.003386
3.116921,3.123693,3.120307,0.003386
3.123693,3.130464,3.127078,0.003386
3.130464,3.137235,3.13385,0.003386
3.137235,3.144006,3.14062,0.003385
3.144006,3.150776,3.147391,0.003385
3.150776,3.157546,3.154161,0.003385
3.157546,3.164315,3.16093,0.003385
3.164315,3.171084,3.167699,0.003384
3.171084,3.177852,3.174468,0.003384
3.177852,3.18462,3.181236,0.003384
3.18462,3.191388,3.188004,0.003384
3.191388,3.198155,3.194771,0.003383
3.198155,3.204921,3.201538,0.003383
3.204921,3.211688,3.208304,0.003383
3.211688,3.218453,3.21507,0.003383
3.218453,3.225218,3.221836,0.003383
3.225218,3.231983,3.228601,0.003382
3.231983,3.238748,3.235365,0.003382
3.238748,3.245511,3.242129,0.003382
3.245511,3.252275,3.248893,0.003382
3.252275,3.259038,3.255656,0.003381
3.259038,3.2658,3.262419,0.003381
3.2658,3.272562,3.269181,0.003381
3.272562,3.279324,3.275943,0.003381
3.279324,3.286085,3.282704,0.003381
3.286085,3.292845,3.289465,0.00338
3.292845,3.299605,3.296225,0.00338
3.299605,3.306365,3.302985,0.00338
3.306365,3.313124,3.309745,0.00338
3.313124,3.319883,3.316504,0.003379
3.319883,3.326641,3.323262,0.003379
3.326641,3.333399,3.33002,0.003379
3.333399,3.340156,3.336777,0.003379
3.340156,3.346913,3.343534,0.003378
3.346913,3.353669,3.350291,0.003378
3.353669,3.360425,3.357047,0.003378
3.360425,3.36718,3.363802,0.003378
3.36718,3.373935,3.370557,0.003377
3.373935,3.380689,3.377312,0.003377
3.380689,3.387442,3.384066,0.003377
3.387442,3.394196,3.390819,0.003377
3.394196,3.400948,3.397572,0.003376
3.400948,3.407701,3.404325,0.003376
3.407701,3.414452,3.411076,0.003376
3.414452,3.421203,3.417828,0.003376
3.421203,3.427954,3.424579,0.003375
3.427954,3.434704,3.431329,0.003375
3.434704,3.441454,3.438079,0.003375
3.441454,3.448203,3.444829,0.003375
3.448203,3.454952,3.451577,0.003374
3.454952,3.4617,3.458326,0.003374
3.4617,3.468447,3.465074,0.003374
3.468447,3.475194,3.471821,0.003374
3.475194,3.481941,3.478568,0.003373
3.481941,3.488687,3.485314,0.003373
3.488687,3.495432,3.49206,0.003373
3.495432,3.502177,3.498805,0.003372
3.502177,3.508922,3.505549,0.003372
3.508922,3.515665,3.512294,0.003372
3.515665,3.522409,3.519037,0.003372
3.522409,3.529151,3.52578,0.003371
3.529151,3.535894,3.532523,0.003371
3.535894,3.542635,3.539265,0.003371
3.542635,3.549376,3.546006,0.003371
3.549376,3.556117,3.552747,0.00337
3.556117,3.562857,3.559487,0.00337
3.562857,3.569596,3.566227,0.00337
3.569596,3.576335,3.572966,0.003369
3.576335,3.583074,3.579704,0.003369
3.583074,3.589811,3.586442,0.003369
3.589811,3.596549,3.59318,0.003369
3.596549,3.603285,3.599917,0.003368
3.603285,3.610021,3.606653,0.003368
3.610021,3.616757,3.613389,0.003368
3.616757,3.623492,3.620124,0.003367
3.623492,3.630226,3.626859,0.003367
3.630226,3.63696,3.633593,0.003367
3.63696,3.643693,3.640326,0.003367
3.643693,3.650426,3.647059,0.003366
3.650426,3.657158,3.653792,0.003366
3.657158,3.663889,3.660523,0.003366
3.663889,3.67062,3.667254,0.003365
3.67062,3.67735,3.673985,0.003365
3.67735,3.68408,3.680715,0.003365
3.68408,3.690809,3.687444,0.003365
3.690809,3.697537,3.694173,0.003364
3.697537,3.704265,3.700901,0.003364
3.704265,3.710992,3.707628,0.003364
3.710992,3.716205,3.713599,0.002607
3.829993,3.836709,3.833351,0.003358
3.836709,3.843424,3.840066,0.003358
3.843424,3.850138,3.846781,0.003357
3.850138,3.856852,3.853495,0.003357
3.856852,3.863566,3.860209,0.003357
3.863566,3.870278,3.866922,0.003356
3.870278,3.87699,3.873634,0.003356
3.87699,3.883702,3.880346,0.003356
3.883702,3.890413,3.887057,0.003355
3.890413,3.897123,3.893768,0.003355
3.897123,3.903832,3.900477,0.003355
3.903832,3.910541,3.907187,0.003354
3.910541,3.917249,3.913895,0.003354
3.917249,3.923956,3.920603,0.003354
3.923956,3.930663,3.92731,0.003353
3.930663,3.93737,3.934017,0.003353
3.93737,3.944075,3.940722,0.003353
3.944075,3.95078,3.947428,0.003352
3.95078,3.957484,3.954132,0.003352
3.957484,3.964188,3.960836,0.003352
3.964188,3.970891,3.967539,0.003351
3.970891,3.977593,3.974242,0.003351
3.977593,3.984295,3.980944,0.003351
3.984295,3.990996,3.987645,0.00335
3.990996,3.997696,3.994346,0.00335
3.997696,4.004396,4.001046,0.00335
4.004396,4.011095,4.007745,0.00335
4.011095,4.017793,4.014444,0.003349
4.017793,4.024491,4.021142,0.003349
4.024491,4.031188,4.027839,0.003348
4.031188,4.037884,4.034536,0.003348
4.037884,4.04458,4.041232,0.003348
4.04458,4.051274,4.047927,0.003347
4.051274,4.057969,4.054622,0.003347
