"#""Bin Edge short", Bin Edge long, Bin center," Bin width"""
4.057969,4.064662,4.061315,0.003347
4.064662,4.071355,4.068009,0.003346
4.071355,4.078048,4.074701,0.003346
4.078048,4.084739,4.081393,0.003346
4.084739,4.09143,4.088084,0.003345
4.09143,4.09812,4.094775,0.003345
4.09812,4.10481,4.101465,0.003345
4.10481,4.111498,4.108154,0.003344
4.111498,4.118186,4.114842,0.003344
4.118186,4.124874,4.12153,0.003344
4.124874,4.131561,4.128217,0.003343
4.131561,4.138247,4.134904,0.003343
4.138247,4.144932,4.141589,0.003343
4.144932,4.151617,4.148275,0.003342
4.151617,4.158301,4.154959,0.003342
4.158301,4.164984,4.161642,0.003342
4.164984,4.171667,4.168325,0.003341
4.171667,4.178349,4.175008,0.003341
4.178349,4.18503,4.181689,0.003341
4.18503,4.19171,4.18837,0.00334
4.19171,4.19839,4.19505,0.00334
4.19839,4.205069,4.201729,0.00334
4.205069,4.211747,4.208408,0.003339
4.211747,4.218425,4.215086,0.003339
4.218425,4.225102,4.221763,0.003338
4.225102,4.231778,4.22844,0.003338
4.231778,4.238453,4.235115,0.003338
4.238453,4.245128,4.24179,0.003337
4.245128,4.251802,4.248465,0.003337
4.251802,4.258475,4.255138,0.003337
4.258475,4.265147,4.261811,0.003336
4.265147,4.271819,4.268483,0.003336
4.271819,4.27849,4.275154,0.003335
4.27849,4.28516,4.281825,0.003335
4.28516,4.29183,4.288495,0.003335
4.29183,4.298498,4.295164,0.003334
4.298498,4.305166,4.301832,0.003334
4.305166,4.311833,4.3085,0.003334
4.311833,4.3185,4.315167,0.003333
4.3185,4.325166,4.321833,0.003333
4.325166,4.331831,4.328498,0.003332
4.331831,4.338495,4.335163,0.003332
4.338495,4.345158,4.341826,0.003332
4.345158,4.351821,4.34849,0.003331
4.351821,4.358483,4.355152,0.003331
4.358483,4.365144,4.361813,0.003331
4.365144,4.371804,4.368474,0.00333
4.371804,4.378464,4.375134,0.00333
4.378464,4.385122,4.381793,0.003329
4.385122,4.39178,4.388451,0.003329
4.39178,4.398438,4.395109,0.003329
4.398438,4.405094,4.401766,0.003328
4.405094,4.41175,4.408422,0.003328
4.41175,4.418405,4.415077,0.003327
4.418405,4.425059,4.421732,0.003327
4.425059,4.431712,4.428385,0.003327
4.431712,4.438364,4.435038,0.003326
4.438364,4.445016,4.44169,0.003326
4.445016,4.451667,4.448342,0.003325
4.451667,4.458317,4.454992,0.003325
4.458317,4.464966,4.461642,0.003325
4.464966,4.471615,4.468291,0.003324
4.471615,4.478262,4.474939,0.003324
4.478262,4.484909,4.481586,0.003323
4.484909,4.491555,4.488232,0.003323
4.491555,4.498201,4.494878,0.003323
4.498201,4.504845,4.501523,0.003322
4.504845,4.511488,4.508167,0.003322
4.511488,4.518131,4.51481,0.003321
4.518131,4.524773,4.521452,0.003321
4.524773,4.531414,4.528094,0.003321
4.531414,4.538054,4.534734,0.00332
4.538054,4.544694,4.541374,0.00332
4.544694,4.551332,4.548013,0.003319
4.551332,4.55797,4.554651,0.003319
4.55797,4.564607,4.561288,0.003318
4.564607,4.571243,4.567925,0.003318
4.571243,4.577878,4.57456,0.003318
4.577878,4.584512,4.581195,0.003317
4.584512,4.591145,4.587829,0.003317
4.591145,4.597778,4.594462,0.003316
4.597778,4.60441,4.601094,0.003316
4.60441,4.611041,4.607725,0.003315
4.611041,4.617671,4.614356,0.003315
4.617671,4.6243,4.620985,0.003315
4.6243,4.630928,4.627614,0.003314
4.630928,4.637555,4.634242,0.003314
4.637555,4.644182,4.640868,0.003313
4.644182,4.650807,4.647494,0.003313
4.650807,4.657432,4.65412,0.003312
4.657432,4.664056,4.660744,0.003312
4.664056,4.670679,4.667367,0.003311
4.670679,4.6773,4.673989,0.003311
4.6773,4.683922,4.680611,0.003311
4.683922,4.690542,4.687232,0.00331
4.690542,4.697161,4.693851,0.00331
4.697161,4.703779,4.70047,0.003309
4.703779,4.710397,4.707088,0.003309
4.710397,4.717013,4.713705,0.003308
4.717013,4.723629,4.720321,0.003308
4.723629,4.730244,4.726936,0.003307
4.730244,4.736857,4.733551,0.003307
4.736857,4.74347,4.740164,0.003306
4.74347,4.750082,4.746776,0.003306
4.750082,4.756693,4.753388,0.003305
4.756693,4.763303,4.759998,0.003305
4.763303,4.769912,4.766607,0.003305
4.769912,4.77652,4.773216,0.003304
4.77652,4.783127,4.779824,0.003304
4.783127,4.789733,4.78643,0.003303
4.789733,4.796339,4.793036,0.003303
4.796339,4.802943,4.799641,0.003302
4.802943,4.809546,4.806244,0.003302
4.809546,4.81614,4.812843,0.003297
4.81614,4.822725,4.819433,0.003293
4.822725,4.829318,4.826021,0.003296
4.829318,4.835917,4.832617,0.0033
4.835917,4.842516,4.839216,0.003299
4.842516,4.849113,4.845815,0.003299
4.849113,4.85571,4.852412,0.003298
4.85571,4.862305,4.859008,0.003298
4.862305,4.868887,4.865596,0.003291
4.868887,4.875464,4.872176,0.003289
4.875464,4.882053,4.878759,0.003295
4.882053,4.888645,4.885349,0.003296
4.888645,4.895236,4.89194,0.003295
4.895236,4.901825,4.89853,0.003295
4.901825,4.908413,4.905119,0.003294
4.908413,4.914991,4.911702,0.003289
4.914991,4.921561,4.918276,0.003285
4.921561,4.92814,4.92485,0.003289
4.92814,4.934724,4.931432,0.003292
4.934724,4.941307,4.938016,0.003292
4.941307,4.94789,4.944598,0.003291
4.94789,4.954471,4.95118,0.003291
4.954471,4.961039,4.957755,0.003284
4.961039,4.967602,4.96432,0.003281
4.967602,4.974175,4.970888,0.003287
4.974175,4.980752,4.977463,0.003288
4.980752,4.987327,4.984039,0.003288
4.987327,4.993902,4.990615,0.003287
4.993902,5.000476,4.997189,0.003287
5.000476,5.007032,5.003754,0.003278
5.007032,5.013587,5.010309,0.003278
5.013587,5.020157,5.016872,0.003285
5.020157,5.026726,5.023441,0.003285
5.026726,5.033294,5.03001,0.003284
5.033294,5.039861,5.036578,0.003283
5.039861,5.046415,5.043138,0.003277
5.046415,5.052964,5.049689,0.003274
5.052964,5.059522,5.056243,0.003279
5.059522,5.066085,5.062803,0.003281
5.066085,5.072646,5.069365,0.003281
5.072646,5.079206,5.075926,0.00328
5.079206,5.084781,5.081993,0.002788
5.084781,5.091534,5.088158,0.003376
5.091534,5.098288,5.094911,0.003377
5.098288,5.105041,5.101664,0.003376
5.105041,5.111794,5.108418,0.003376
5.111794,5.118547,5.115170,0.003377
