"#""Bin Edge short", Bin Edge long, Bin center," Bin width"""
2.8627040,2.9032589,2.8829814,0.0202774
2.9032589,2.9438137,2.9235363,0.0202774
2.9438137,2.9843686,2.9640911,0.0202774
2.9843686,3.0249234,3.0046460,0.0202774
3.0249234,3.0654783,3.0452009,0.0202774
3.0654783,3.1060331,3.0857557,0.0202774
3.1060331,3.1465880,3.1263106,0.0202774
3.1465880,3.1871429,3.1668654,0.0202774
3.1871429,3.2276977,3.2074203,0.0202774
3.2276977,3.2682526,3.2479751,0.0202774
3.2682526,3.3088074,3.2885300,0.0202774
3.3088074,3.3493623,3.3290849,0.0202774
3.3493623,3.3899171,3.3696397,0.0202774
3.3899171,3.4304720,3.4101946,0.0202774
3.4304720,3.4710269,3.4507494,0.0202774
3.4710269,3.5115817,3.4913043,0.0202774
3.5115817,3.5521366,3.5318591,0.0202774
3.5521366,3.5926914,3.5724140,0.0202774
3.5926914,3.6332463,3.6129689,0.0202774
3.6332463,3.6738011,3.6535237,0.0202774
3.6738011,3.7143560,3.6940786,0.0202774
3.8199180,3.8593732,3.8396456,0.0197276
3.8593732,3.8988284,3.8791008,0.0197276
3.8988284,3.9382837,3.9185560,0.0197276
3.9382837,3.9777389,3.9580113,0.0197276
3.9777389,4.0171941,3.9974665,0.0197276
4.0171941,4.0566493,4.0369217,0.0197276
4.0566493,4.0961045,4.0763769,0.0197276
4.0961045,4.1355597,4.1158321,0.0197276
4.1355597,4.1750150,4.1552874,0.0197276
4.1750150,4.2144702,4.1947426,0.0197276
4.2144702,4.2539254,4.2341978,0.0197276
4.2539254,4.2933806,4.2736530,0.0197276
4.2933806,4.3328358,4.3131082,0.0197276
4.3328358,4.3722911,4.3525635,0.0197276
4.3722911,4.4117463,4.3920187,0.0197276
4.4117463,4.4512015,4.4314739,0.0197276
4.4512015,4.4906567,4.4709291,0.0197276
4.4906567,4.5301119,4.5103843,0.0197276
4.5301119,4.5695672,4.5498395,0.0197276
4.5695672,4.6090224,4.5892948,0.0197276
4.6090224,4.6484776,4.6287500,0.0197276
4.6484776,4.6879328,4.6682052,0.0197276
4.6879328,4.7273880,4.7076604,0.0197276
4.7273880,4.7668432,4.7471156,0.0197276
4.7668432,4.8062985,4.7865709,0.0197276
4.8062985,4.8457537,4.8260261,0.0197276
4.8457537,4.8852089,4.8654813,0.0197276
4.8852089,4.9246641,4.9049365,0.0197276
4.9246641,4.9641193,4.9443917,0.0197276
4.9641193,5.0035746,4.9838470,0.0197276
5.0035746,5.0430298,5.0233022,0.0197276
5.0430298,5.0824850,5.0627574,0.0197276
